A1R	A2	A3	A4	A5	C1	C2	C3	C4R	C5R	E1R	E2R	E3	E4	E5	N1R	N2R	N3R	N4R	N5R	O1	O2R	O3	O4	O5R	gender	education	age	extraversion	plasticity
6	5	4	4	5	4	5	4	4	4	4	4	2	5	4	5	4	6	4	5	4	4	5	4	4	1	1	18	3.8	4
2	6	4	3	5	5	3	3	3	2	1	3	4	4	3	5	5	4	3	2	3	2	4	4	3	1	4	20	3	3.1
5	6	6	6	6	5	4	5	4	3	5	5	4	5	5	5	5	5	5	4	5	5	5	5	6	2	5	24	4.8	5
6	6	6	6	6	5	2	1	5	6	1	2	6	6	5	5	6	3	1	2	6	2	6	6	6	1	3	25	4	4.6
2	5	3	4	3	4	4	3	3	2	3	3	5	2	4	3	2	4	2	5	3	2	4	4	5	1	2	22	3.4	3.5
5	6	4	5	5	3	2	3	3	1	5	3	2	4	4	4	3	5	5	3	5	3	5	3	5	2	1	18	3.6	3.9
6	5	3	2	3	3	6	3	6	4	2	2	5	5	3	2	2	2	2	4	3	4	2	5	6	2	1	43	3.4	3.7
6	6	6	6	6	5	5	4	6	5	6	6	6	6	6	3	3	6	6	6	6	4	6	6	6	1	3	20	6	5.8
6	6	6	6	4	4	3	1	3	5	5	5	5	4	4	1	1	1	4	4	3	6	4	6	5	2	3	24	4.6	4.7
6	5	6	5	4	6	6	6	1	5	3	3	4	3	6	6	6	6	1	2	5	1	3	6	4	2	4	26	3.8	3.8
4	6	4	4	4	5	5	3	5	2	6	6	4	6	5	5	5	6	6	6	5	6	5	5	1	1	4	26	5.4	4.9
3	3	5	6	3	5	6	2	2	5	4	2	2	6	2	1	2	2	2	1	2	2	2	6	3	2	3	25	3.2	3.1
6	6	6	6	6	6	5	5	5	5	6	5	5	6	5	5	4	5	4	5	5	4	5	5	5	1	4	25	5.4	5.1
6	4	3	5	5	5	5	4	3	2	5	2	4	5	5	5	3	3	2	4	5	6	6	6	6	1	5	26	4.2	5
6	4	2	2	2	5	5	5	2	6	3	2	4	3	4	4	3	2	2	2	4	3	6	6	4	2	3	21	3.2	3.9
4	4	5	2	4	5	4	5	5	3	2	2	5	4	5	2	2	2	4	5	5	5	5	5	2	1	5	24	3.6	4
6	6	5	4	4	6	6	6	6	3	3	3	1	2	5	4	3	3	3	3	4	3	4	2	6	2	2	50	2.8	3.3
4	3	5	4	5	6	4	4	5	5	5	6	4	6	4	6	5	6	3	6	4	4	5	5	5	1	5	29	5	4.8
5	3	4	4	5	5	3	2	3	1	3	3	3	5	2	3	3	1	2	5	2	3	3	5	2	1	1	32	3.2	3.1
5	4	4	5	3	5	5	4	4	3	1	2	4	3	4	3	2	3	2	2	6	1	4	6	5	1	1	18	2.8	3.6
6	4	6	6	6		6	6	5	4	6	6	5	6	6	3	3	4	6	4	5	4	3	6	4	2	4	32	5.8	5.1
3	5	3	5	4	6	5	5	5	5	6	6	5	6	6	4	2	4	6	4	4	6	4	6	6	2	3	26	5.8	5.5
5	6	6	6	6	4	6	6	6	3	4	1	5	4	4	3	4	1	1	3	4	6	6	6	4	2	5	27	3.6	4.4
5		4	6	4	5	4	5	5	6	2	2	3	3	3	6	6	6		6	2	6	4	6	6	2	3	19	2.6	3.7
6	5	4	2	5	1	2	2	5	1	5	2	2	2	1	5	2	2	3	5	5	3	4	6	6	1	4	21	2.4	3.6
3	3	2	2	2	4	2	2	3	2	3	4	4	2	4	6	5	6	2	5	6	6	6	6	6	1	3	21	3.4	4.7
5	3	4	5	6	5	5	4	5	5	6	5	4	4	4	6	5	5	3	5	3	5	5	5	5	2	5	36	4.6	4.6
6	6	6	3	6	6	5	6	6	3	3	3	2	3	3	6	5	5	2	5	6	5	3	5	5	2	2	48	2.8	3.8
3	5	6	6	4	4	6	6	6	5	3	4	5	5	5	5	4	4	6	4	4	6	4	6	5	2	3	22	4.4	4.7
5	4	6	2	5	2	4	4	6	6	6	6	4	4		6	4	5	5	6	6	5	4	5	4	2	2	23		
3	4	4	5	3	5	4	6	5	3	5	5	4	6	4	2	2	3	4	2	4	6	4	2	4	1	3	21	4.8	4.4
6	5	5	5	4	5	5	5	6	5	3	3	3	2	5	6	5	3	3	3	5	6	5	4	5	2	3	20	3.2	4.1
4	5	5	5	4	5	5	5	6	6	5	4	5	5	4	5	6	5	5	4	5	6	5	4	5	2	3	23	4.6	4.8
5	5	5	6	5	5	4	6	4	5	6	6	4	6	5	5	5	4	4	5	5	6	4	3	3	2	4	43	5.4	4.8
5	6	6	6	6	5	4	5	6	5	6	6	6	6	5	5	3	5	6	6	6	4	5	4	6	2		16	5.8	5.4
2	6	6	6	5	5	5	6	4	3	6	5	5	6	6	3	4	3	3	1	5	3	5	6	4	2		14	5.6	5.1
6	2	2	4	2	2	4	2	2	6	5	5	4	2	2	3	5	5	5	3	2	4	4	2	3	2	3	54	3.6	3.3
5	5	5	5	5	4	2	3	2	3	3	3	4	5	4	5	4	3	2	5	4	3	3	5	6	1	2	20	3.8	4
6	5	6	5	3	6	5	4	3	4	3	2	4	4	5	4	4	4	3	4	6	5	5	6	5	1	4	28	3.6	4.5
6	6	3	3	1	6	6	5	6	1	3	2	3	5	1	3	3	1	1	2	6	6	6	6	6	2	4	38	2.8	4.4
6	4	6	2	6	3	3	4	3	2	1	3	5	6	2	4	2	3	1	3	6	5	5	6	6	1		38	3.4	4.5
6	6	6	5	6	5	6	5	6	6	4	5	5	5	5	4	4	5	5	5	4	2	4	5	5	1	3	27	4.8	4.4
6	6	5	2	6	4	5	5	5	4	4	3	4	5	3	5	3	2	1	1	6	2	4	6	6	2	1	18	3.8	4.3
3	4	4	6	5	2	5	4	3	4	2	4	3	3	5	5	5	3	5	3	3	3	3	4	3	1	3	29	3.4	3.3
6	5	5	5	5	4	4	5	5	5	2	5	2	5	5	4	4	5	5	5	4	2	5	4	3	2	4	50	3.8	3.7
6	6	5	4	6	4	5	4	3	2	5	5	4	5	5	6	4	5	5	5	5	6	4	5	5	2	3	50	4.8	4.9
6	6	4	6	4	4	4	5	5	3	6	5	4	5	5	5	4	5	5	5	4	5	3	4	5	2	3	20	5	4.6
4	4	5	5	4	3	3		4	4	3	3	4	3	4	4	4	3	3	4	4	5	4	4	4	2	3	19	3.4	3.8
6	5	5	5	5	5	2	4	6	5	3	6	5	5	5	6	6	6	3	6	6	6	5	5	5	2	4	56	4.8	5.1
6	5	6	2	5	5	4	5	4	3	4	2	4	4	4	4	4	3	4	3	6	6	5	6	5	2	4	29	3.6	4.6
5	4	5	4	5	2	2	3	3	3	6	2	2	6	2	5	4	1	3	1	3	5	2	2	2	2	5	29	3.6	3.2
6	6	6	3	6	6	6	5	6	6	6	4	5	6	6	5	2	3	1	6	6	5	5	6	6	2	5	48	5.4	5.5
5	6	4	6	4	4	5	6	4	6	5	3	2	5	4	3	2	5	4	1	3	3	3	5	1	2	1	30	3.8	3.4
5	3	3	4	3	5	6	4	6	3	2	1	2	2	4	4	3	1	1	1	5	5	3	5	3	2	2	21	2.2	3.2
4	1	2	2	2	2	1	2	1	1	1	1	1	1	1	4	2	3	3	3	5	6	3	6	6	1	3	19	1	3.1
6	4	5	5	6	6	4	4	6	6	2	6	2	3	5	6	5	6	6	6	5	6	5	6	6	1	5	42	3.6	4.6
3	3	2	6	5	4	5	6	5	1	2	2	1	5	5	3	2	1	1	1	5	6	2	6	3	2	3	18	3	3.7
5	6	2	3	4	4	2	5	4	2	2	4	2	3	5	6	6	6	5	5	2	6	5	3	4	2	4	50	3.2	3.6
5	5	5	3	5	4	3	4	4	2	4	2	4	5	5		2	1	3	3	6	5	5	6	6	2	3	24	4	4.8
4	4	4	2	4	4	3	4	3	5	5	4	4	3	5	3	3	5	5	3	4	5	5	4	5	1	5	25	4.2	4.4
5	5	5	5	2	6	6	4	6	2	4	5	2	2	5	3	2	2	2	3	6	5	5	6	6	1	5	47	3.6	4.6
6	4	5	2	6	2	1	2	3	1	1	2	3	3	3	5	6	4	4	6	4	4	4	5	1	2	1	18	2.4	3
6	6	4	1	1	6	4	5	5	6	1	1	3	1	1	3	4	1	1	2	2	4	3	6	4	2	4	37	1.4	2.6
6	6	5	6	6	5	3	4	1	2	5	3	3	4	5	3	2	3	4	3	5	3	4	6	5	2	4	33	4	4.3
6	5	5	5	2	6		6	6	6	4	5	1	2	6	2		2	3	4	4	6	6	6	6	2	5	40	3.6	4.6
1	1	1	1	2	3	6	3	4	3	6	3	5	2	6	1	1	4	5	2	6	6	6	5	5	1		18	4.4	5
5	6	5	6	5	5	4	4	3	1	6	4	4	6	4	2	1	5	3	1	6	2	6	6	5	2	3	21	4.8	4.9
4	6	5	6	4	3	5	2	4	3	5	2	6	6	5	1	1	1	3	1	5	3	4	6	3	2	3	27	4.8	4.5
6	6	6	6	6	4	4	5	4	3	4	5	4	5	4	5	4	5	4	3	4	6	5	6	6	2	3	19	4.4	4.9
	4	5	6	4	5	5	5	6	2	4	3	3	2	3	6	5	6	3	5	3	1	1	3	4	2	4	36	3	2.7
6	6	6	5	4	5	3	5	6	5	5	3	4	5	4	6	6	6	5	5	4	5	4	6	5	2	3	19	4.2	4.5
6	6	6	6	6	6	6	5	6	1	2	2	2	5	5	6	2	2	2	1	6	6	6	6	5	2	5	29	3.2	4.5
6	6	5	4	5	5	4	5	5	5	6	6	6	6	5	5	5	5	5	5	6	6	5	4	6	2	5	23	5.8	5.6
3	2	1	2	2	4	1	2	1	1	2	2	2	2	1	5	3	5	3	5	2	1	3	5	2	1	5	23	1.8	2.2
6	5	4	3	4	5	6	4	6	3	4	5	4	5	6	6	5	5	3	6	4	6	6	5	6	1	3	20	4.8	5.1
2	2	2	2	1	2	2	2	4	2	2	1	2	1	2	3	3	5	5	5	5	6	5	5	5	1	4	24	1.6	3.4
5	5	4	3	4	5	4	5	5	4	6	5	4	5	5	3	3	4	5	4	6	6	5	5	5	1	5	24	5	5.2
6	5	6	6	6	6	5	4	5	1	6	5	5	6	6	6	5	5	5	3	6	6	6	6	6	1	5	26	5.6	5.8
3	6	5	5	6	4	6	5	2	5	6	4	6	6	6	3	4	6	4	3	6	4	6	5	4	2	3	25	5.6	5.3
5	5	4	4	4	4	5	5	2	2	2	1	3	2	2	4	3	5	2	1	2	3	4	6	3	1	4	24	2	2.8
1	5	5	2	5	5	5	6	6	6	6	5	5	5	6	2	3	3	4	6	6	5	6	5	6	1	5	24	5.4	5.5
5	5	5	1	6	5	5	5	4	1	5	3	6	6	5	3	3	4	4	6	5	4	6	4	5	1	5	28	5	4.9
5	4	5	5	5	5	5	4	1	1	2	2	5	5	3	6	5	5	3	5	5	5	5	6	6	1	4	22	3.4	4.4
5	5	5	5	2	5	5	5	5	1	2	2	3	2	2	5	4	5	2	2	5	6	6	6	6	1	5	26	2.2	4
5	5	6	5	6	5	4	5	4	5	5	5	4	5	5	3	3	5	5	5	4	4	5	4	5	1	5	25	4.8	4.6
5	5	4	4	5	5	4	5	4	2	5	4	5	4	5	5	4	4	3	5	5	5	6	6	5	1	4	23	4.6	5
5	5	5	3	2	2	3	4	2	1	5	2	2	2	2	5	3	3	3	5	5	5	4	6	5	1	3	22	2.6	3.8
3	5	4		3	5	3	4	5	2	6	3	3	5	4	3	2	2	3	2	4	3	3	6	4	2	3	19	4.2	4.1
5	4	4	4	4	4	4	4	3	2	3	4	4	6	5	3	2	4	2	3	4	5	4	6	4	2	4	25	4.4	4.5
4	5	4	5	4	4	4	5	4	2	5	3	5	5	4	2	2	2	2	2	6	4	4	5	5	1	3	25	4.4	4.6
3	3	3	3	3	6	5	5	5	4	2		3	2	3	4	4	4	3	3	5	6	5	6	1	1	5	27		
5	4	3	3	3	4	4	4	4	1	5	2	3	2	5	3	1	3	3	2	3	2	3	5	4	2	3	20	3.4	3.4
6	6	6	6	6	6	6	3	1	2	1	2	5	6	6	1	1	3	2	1	5	1	6	6	5	2	3	25	4	4.3
6	6	6	5	6	6	1	3	3	2	4	3	4	6	3	2	2	5	2	5	4	3	6	6	6	2	3	49	4	4.5
6	6	6	4	6	1	1	3	6	6	6	6	6	6	6	3	3	6		5	4	6	6	2	5	2	3	26	6	5.3
6	6	5	6	5	6	6	4	6	6	6	5	5	4	5	3	1	5	6	5	6	6	6	5	4	2	3	25	5	5.2
6	6	5	6	5	5	5	4	6	3	5	4	6	6	5	3	3	2	3	2	5	5	5	6	3	2	3	25	5.2	5
4	6	6	4	6	2	3	2	2	2	6	6	6	6	6	3	3	3	4	4	6	4	4	5	5	1		18	6	5.4
5	3	1	3	1	3	3	3	5	1	1	1	1	1	3	2	3	4	1	3	2	5	1	5	4	1	3	21	1.4	2.4
5	4	5	5	5	4	4	6	3	5	6	5	4	6	5	1	1	3	3	1	4	3	3	4	2	2	3	22	5.2	4.2
5	5	3	5	1	6	5	4	5	5	6	6	5	6	2	4	2	3	3	2	4	5	5	4	4	2	3	37	5	4.7
6	6	5	6	6	3	2	4	5	4	4	5	5	5	3	5	5	5	5	6	4	3	4	5	4	2	3	20	4.4	4.2
2	4	4	5	6	3	5	3	4	1	3	3	6	5	5	5	2	5	6	5	6	5	5	5	5	2	1	22	4.4	4.8
5	5	4	3	3	6	4	4	5	3	1	3	3	3	4	6	6	6	3	4	6	6	4	6	6	2	5	41	2.8	4.2
6	6	6	3	6	6	6	6	6	2	6	3	5	5	6	4	1	3	3	1	5	6	4	6	6	2	5	22	5	5.2
5	6	4	5	4	4	4	5	4	2	4	4	4	4	4	4	4	4	3	4	4	3	5	5	5	1	5	24	4	4.2
5	6	3	5	2	4	4	6	3	2	5	6	5	4	6	6	6	6	6	6	6	5	5	2	6	2	4	23	5.2	5
6	5	5	6	5	5	5	5	5	5	5	5	1	5	3	2	5	3	3	5	5	5	5	5	6	1	4	32	3.8	4.5
6	5	5	3	3	5	2	2	2	1	5	4	2	3	4	2	2	2	4	5	5	5	5	6	5	1	5	43	3.6	4.4
6	6	6	5	6	6	5	3	6	6	6	5	5	5	5	6	6	6	5	3	6	6	6	6	6	2	4	30	5.2	5.6
5	5	5	6	5	4	4	2	2	3	3	4	5	5	4	4	3	5	6	6	6	2	4	6	5	2	2	50	4.2	4.4
3	4	3	1	4	5	4	4	6	6	6	6	4	6	6	4	3	5	5	6	4	6	6	4	5	1	1	18	5.6	5.3
5	6	5	5	3	5	5	6	5	6	5	2	3	4	5	6	4	5	6	4	6	5	4	6	2	2	3	16	3.8	4.2
4	5	6	5	5	4	5	4	5	3	5	5	5	5	5	4	4	2	3	4	5	5	6	5	4	2	5	34	5	5
6	6	6	6	5	5	3	4	3	3	6	5	5	6	5	5	5	5	5	4	5	3	5	5	5	2	2	18	5.4	5
5	5	5	5	4	3	1	4	3	2	2	2	5	3	5	5	3	2	3	2	5	3	5	5	6	2	5	24	3.4	4.1
5	4	4	1	3	3	5	4	3	2	3	3	4	5	2	6	5	6	3	3	5	6	6	6	6	1	2	18	3.4	4.6
5	4	5	5	4	5	6	5	5	6	4	3	4	2	6	1	1	5	4	3	5	2	4	5	2	2	3	22	3.8	3.7
6	5	5	6	5	5	4	5	6	6	3	5	4	4	4	4	3	5		6	5	6	4	4	3	2	2	36	4	4.2
6	6	6	2	5	5	3	2	4	3	5	5	3	5	5	5	3	5	4	2	4	5	4	6	5	2	3	19	4.6	4.7
5	6	4	5	4	2	3	2	3	2	5	4	4	5	4	3	4	5	3	5	5	2	4	4	5	1	3	20	4.4	4.2
6	5	2	3	4	2	5	6	2	5	2	5	1	3	4	6	5	3	6	6	5	1	2	2	1	1	3	24	3	2.6
6	6	6	6	6	5	5	5	5	5	5	5	5	6	4	5	5	3	4	3	5	1	5	6	3	2	3	20	5	4.5
5	4	5	5	5	1	1	3	3	2	6	5	5	5	2	6	5	6	5	6	6	6	5	5	1	1	5	34	4.6	4.6
5	4	5	6	5	4	6	4	6	5	6	6	6	6	5	6	6	5	5	6	5	6	5	5	5	1	3	21	5.8	5.5
5	6	5	4	4	4	2	4	2	2	5		4	3	5	3	3	5	3	6	6	3	5	5	5	1	3	19		
6	5	5	5	5	5	6	4	5	5	3	6	5	4	6	3	2	2	3	5	5	6	5	6	6	2	2	18	4.8	5.2
6	6	6	1	3	6	6	5	6	3	2	1	1	4	1	1	1	1	2	1	5	6	2	5	6	2		25	1.8	3.3
4	4	4	3	4	3	3	5	4	1	5	2	5	3	4	2	3	5	5	3	5	3	4	4	2	2	5	27	3.8	3.7
3	4	5	6	4	5	6	6	3	5	5	5	5	5	5	3	5	3	2	3	4	5	5	3	4	1	5	33	5	4.6
6	5	5	5	5	4	4	4	3	2	5	5	5	5	5	4	4	4	4	3	6	5	5	4	2	1	3	20	5	4.7
5	6	5	5	4	5	4	5	4	3	3	1	5	6	6	4	4	5	5	5	5	1	6	5	6	2	3	19	4.2	4.4
5	6	6	6	5	5	5	5	5	6	5	6	5	5	6	6	5	5	5	4	5	6	6	6	4	2		16	5.4	5.4
6	2	2	4	3	6	4	6	2	1	3	2	1	6	3	3	1	1	3	2	3	3	3	6	3	2	3	18	3	3.3
6	6	5	6	6	4	5	3	4	3	1	4	4	5	5	6	5	5	5	4	6	6	5	6	6	2	4	35	3.8	4.8
1	5	6	6	5	6	6	6	6	4	1	1	4	4	5	3	2	3	3	3	6	6	3	6	4	2	3	23	3	4
3	3	4	3	4	4	3	5	3	3	5	3	4	3	4	2	2	4	5	4	5	3	4	4	3	2	5	27	3.8	3.8
4	4	2	2	3	3	2	2	3	6	5	5	5	4	5	5	4	6	6	6	6	4	6	5	6	1	3	18	4.8	5.1
3	3	4	3	3	5	2	4	3	2	4	2	4	1	4	2	2	2	3	3	6	6	6	6	6	1	2	31	3	4.5
6	6	5	6	6	5	4	5	5	3	4	3	5	6	4	5	4	5	6	6	5	2	3	5	4	2		17	4.4	4.1
4	5	4	4	4	3	3	4	3	3	2	3	3	2	4	5	4	5	4	5	5	3	4	3	3	1	1	53	2.8	3.2
3	2	2	3	3	4	3	3	3	2	3	2	2	2	5	2	3	3	2	3	5	5	5	6	5	1	5	29	2.8	4
4	4	4	3	3	5	5	4	4	5	4	3	4	2	3	3	3	2	3	3	6	6	6	6	6	1	2	19	3.2	4.6
6	6	5	6	3	3	5	1	6	1	6	4	3	3	6	1	1	1	5	1	3	1	1	1	1	2	1	29	4.4	2.9
6	5	5	4	5	4	4	4	3	3	3	6	5	5	4	6	5	6	6	5	6	3	6	6	6	1	5	41	4.6	5
5	2	1	6	3	6	6	6	6	6	5	5	5	6	6	6	4	6	6	6	6	6	6	6	5	2	5	31	5.4	5.6
5	4	4	5	5	5	5	5	6	5	1	2	2	5	5	2	2	2	1	4	2	5	3	5	5	2	3	45	3	3.5
6	6	6	2	5	5	5	5	6	5	5	5	6	6	6	1	1	3	5	3	6	6	5	5	6	2	2	47	5.6	5.6
5	3	4	4	4	3	1	1	4	5	4	4	3	3	4	5	4	5	4	5	6	5	4	5	5	1	4	27	3.6	4.3
6	6	4	3	6	4	4	5	5	2	5	2	4	5	6	3	2	2	5	1	5	5	6	6	6	2	2	24	4.4	5
5	3	4	5	3	4	5	4	5	2	2	4	3	4	4	5	5	3	3	4	4	4	4	5	4	1	4	20	3.4	3.8
2	4	3	5	4	4	4	4	3	2	6	2	5	6	4	6	6	6	3	2	5	3	4	4	2	1	2	23	4.6	4.1
6	5	4	4	4	5	5	5	5	3	4	3	2	4	4	3	3	3	4	3	4	5	3	5	5	1	5	28	3.4	3.9
6	6	6	5	3	1	3	2	5	2	1	1	5	1	2	1	3	1	1	4	3	6	3	3	3	2		16	2	2.8
5	5	6	3	5	5	3	3	4	3	6	5	6	5	6	2	3	6	5	5	4	3	5	4	5	1	1	18	5.6	4.9
5	4	5	6	5	2	4	4	4	5	3	3	3	5	2	5	3	4	5	4	3	6	3	5	4	2		16	3.2	3.7
5	6	5	5	5	2	4	3	3	1	6	4	5	6	6	6	6	5	6	6	6	4	4	5	4	1		17	5.4	5
6	5	6	4	5	3	2	5	5	6	6	6	2	5	4	6	5	5	5	3	5	6	5	5	6	2	1	18	4.6	5
5	5	5	5	5	5	6	5	6	5	5	4	3	5	4	6	4	6	5	2	4	4	4	5	2	1		16	4.2	4
6	5	2	2	2	2	2	6	5	4	2	1	4	1	5	4	2	2	2	3	2	2	4	6	6	2		16	2.6	3.3
4	3	5	5	5	4	4	4	4	3	4	5	3	5	4	4	2	4	4	3	4	3	3	2	4	2	1	18	4.2	3.7
5	4	5	6	5	5	6	4	6	5	5	6	4	6	5	6	5	6	6	6	5	4	4	3	5	1		17	5.2	4.7
6	6	5	5	5	5	4	4	4	3	4	5	4	5	4	6	5	3	5	6	6	5	4	5	4	1		17	4.4	4.6
5	6	4	6	2	4	5	5	6	6	1	3	5	4	6	6	5	6	2	3	5	5	1	5	6	1		16	3.8	4.1
5	5	5	6	4	2	4	2	5	3	2	3	3	3	5	3	3	3	4	5	3	5	3	4	4	2	1	18	3.2	3.5
6	4		6	6	6	4	4	6	6	1	1	6	1	6	6	6	6	6	6	6	6	4	6	6	2	5	50	3	4.3
6	5	6	5	5	3	3	3	3	3	6	6	5	5	5	4	3	3	5	4	4	4	5	4	4	2	4	25	5.4	4.8
5	3	2	1	4	1	2	2	6	2	6	2	2	4	5	6	2	6	5	6	4	6	2	5	6	1	5	48	3.8	4.2
5	5	5	5	5	6	2	5	5	5	5	5	4	6	5	5	5	5	6	5	5	6	5	6	6	2	4	27	5	5.3
6	6	5	6	6	4	5	4	2	1	4	3	6	5	5	2	2	1	5		6	6	1	5	5	2	3	22	4.6	4.6
2	4	4	4	5	5	4		3	3	3	3	4	5	3	5	5	5	5	6	5	4	4	5	3	1	3	20	3.6	3.9
4	4	3	3	3	3	3	3	3	1	2	2	2	2	4	1	1	1	1	4	3	3	2	4	3	2		17	2.4	2.7
6	6	6	4	6	5	5	5	6	4	4	6	6	2		5	5	6	6	5	6	6	6	6	6	2	5	59		
5	4	4	1	4	5	4	4	5	5	3	2	3	3	5	3	2	6	5	4	5	6	5	6	5	2	1	17	3.2	4.3
6	6	6	6	6	6	5	4	6	5	6	6	5	6	6	4	3	4	5	5	6	1	5	5	6	2	3	32	5.8	5.2
5	4	4	4	3	5	1	3	5	6	6	6	3	6	5	2	1	1	6	6	4	4	5	2	4	1	3	22	5.2	4.5
2	5	4	5	4	6	6	6	6	1	5	5	4	5	5	6	6	3	4	3	6	3	4	5	5	1	3	21	4.8	4.7
2	3	1	2	3	6	2	2	3	2	2	3	3	4	2	6	3	3	3	5	6	5	6	5	5	1	5	29	2.8	4.1
